top_k,rebalance_every,min_hold_bars,total_return,annual_return,max_drawdown,sharpe_ratio,turnover_ratio,trade_count
4,2,8,-0.05760397011239782,-0.08612980974397233,0.24833418815789077,-0.27125367351205143,38.947781178,551
4,2,10,0.030644529807302368,0.04688809645025671,0.19867022214908314,0.2579802493221725,35.771883818999996,514
4,2,12,0.4804688928362517,0.8141718967077871,0.16465148083810477,2.419628003253926,35.4752035675,503
4,3,8,-0.05760397011239782,-0.08612980974397233,0.24833418815789077,-0.27125367351205143,38.947781178,551
4,3,10,0.030644529807302368,0.04688809645025671,0.19867022214908314,0.2579802493221725,35.771883818999996,514
4,3,12,0.4804688928362517,0.8141718967077871,0.16465148083810477,2.419628003253926,35.4752035675,503
4,4,8,-0.05760397011239782,-0.08612980974397233,0.24833418815789077,-0.27125367351205143,38.947781178,551
4,4,10,0.030644529807302368,0.04688809645025671,0.19867022214908314,0.2579802493221725,35.771883818999996,514
4,4,12,0.4804688928362517,0.8141718967077871,0.16465148083810477,2.419628003253926,35.4752035675,503
4,5,8,-0.05760397011239782,-0.08612980974397233,0.24833418815789077,-0.27125367351205143,38.947781178,551
4,5,10,0.030644529807302368,0.04688809645025671,0.19867022214908314,0.2579802493221725,35.771883818999996,514
4,5,12,0.4804688928362517,0.8141718967077871,0.16465148083810477,2.419628003253926,35.4752035675,503
5,2,8,0.3160082879597028,0.5172013236615249,0.14604075881774403,1.6768001759500353,43.451099626,666
5,2,10,0.2918576551694525,0.4751354437700044,0.07739467207454276,1.7673432043176442,38.1326623485,635
5,2,12,0.36730181481655166,0.6078738273360558,0.11313071480663528,2.07637287353468,33.4439113065,616
5,3,8,0.3160082879597028,0.5172013236615249,0.14604075881774403,1.6768001759500353,43.451099626,666
5,3,10,0.2918576551694525,0.4751354437700044,0.07739467207454276,1.7673432043176442,38.1326623485,635
5,3,12,0.36730181481655166,0.6078738273360558,0.11313071480663528,2.07637287353468,33.4439113065,616
5,4,8,0.3160082879597028,0.5172013236615249,0.14604075881774403,1.6768001759500353,43.451099626,666
5,4,10,0.2918576551694525,0.4751354437700044,0.07739467207454276,1.7673432043176442,38.1326623485,635
5,4,12,0.36730181481655166,0.6078738273360558,0.11313071480663528,2.07637287353468,33.4439113065,616
5,5,8,0.3160082879597028,0.5172013236615249,0.14604075881774403,1.6768001759500353,43.451099626,666
5,5,10,0.2918576551694525,0.4751354437700044,0.07739467207454276,1.7673432043176442,38.1326623485,635
5,5,12,0.36730181481655166,0.6078738273360558,0.11313071480663528,2.07637287353468,33.4439113065,616
6,2,8,0.004848192944802321,0.007369143168918457,0.19160025396107494,0.09059581775014662,38.448938964,765
6,2,10,-0.06272377141504837,-0.09365616101101393,0.1486003332020872,-0.3796776974059674,32.1877740485,731
6,2,12,0.010222900780701094,0.015560131302374325,0.17145690248922907,0.12113062427632723,29.628982931000003,722
6,3,8,0.004848192944802321,0.007369143168918457,0.19160025396107494,0.09059581775014662,38.448938964,765
6,3,10,-0.06272377141504837,-0.09365616101101393,0.1486003332020872,-0.3796776974059674,32.1877740485,731
6,3,12,0.010222900780701094,0.015560131302374325,0.17145690248922907,0.12113062427632723,29.628982931000003,722
6,4,8,0.004848192944802321,0.007369143168918457,0.19160025396107494,0.09059581775014662,38.448938964,765
6,4,10,-0.06272377141504837,-0.09365616101101393,0.1486003332020872,-0.3796776974059674,32.1877740485,731
6,4,12,0.010222900780701094,0.015560131302374325,0.17145690248922907,0.12113062427632723,29.628982931000003,722
6,5,8,0.004848192944802321,0.007369143168918457,0.19160025396107494,0.09059581775014662,38.448938964,765
6,5,10,-0.06272377141504837,-0.09365616101101393,0.1486003332020872,-0.3796776974059674,32.1877740485,731
6,5,12,0.010222900780701094,0.015560131302374325,0.17145690248922907,0.12113062427632723,29.628982931000003,722
8,2,8,0.04427032326860236,0.06797084536619225,0.15968503898795472,0.3697400789827283,41.550193953000004,1015
8,2,10,0.04367677222205213,0.06704947755520707,0.18249196597678075,0.3625403046077251,36.2340227065,962
8,2,12,0.04320335286690158,0.06631478444840577,0.1668901712924331,0.35978579034155006,30.840620212,914
8,3,8,0.04427032326860236,0.06797084536619225,0.15968503898795472,0.3697400789827283,41.550193953000004,1015
8,3,10,0.04367677222205213,0.06704947755520707,0.18249196597678075,0.3625403046077251,36.2340227065,962
8,3,12,0.04320335286690158,0.06631478444840577,0.1668901712924331,0.35978579034155006,30.840620212,914
8,4,8,0.04427032326860236,0.06797084536619225,0.15968503898795472,0.3697400789827283,41.550193953000004,1015
8,4,10,0.04367677222205213,0.06704947755520707,0.18249196597678075,0.3625403046077251,36.2340227065,962
8,4,12,0.04320335286690158,0.06631478444840577,0.1668901712924331,0.35978579034155006,30.840620212,914
8,5,8,0.04427032326860236,0.06797084536619225,0.15968503898795472,0.3697400789827283,41.550193953000004,1015
8,5,10,0.04367677222205213,0.06704947755520707,0.18249196597678075,0.3625403046077251,36.2340227065,962
8,5,12,0.04320335286690158,0.06631478444840577,0.1668901712924331,0.35978579034155006,30.840620212,914
